vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
3,430,17.2,Person,538.17,134.83,3.464,332.23
3,462,18.48,Person,544.67,142.67,3.1823,265.1
3,471,18.84,Person,534.5,144.5,3.4378,107.97
3,494,19.76,Person,521.67,124.83,4.1823,126.21
3,502,20.08,Person,505.0,115.33,4.7699,222.3
3,506,20.24,Person,492.17,119.5,4.587,169.27
3,524,20.96,Person,485.5,121.17,4.0761,198.48
3,532,21.28,Person,489.5,122.0,2.4795,329.04
3,539,21.56,Person,501.33,114.5,3.1191,44.28
3,558,22.32,Person,509.17,97.17,3.8423,72.12
3,564,22.56,Person,512.67,85.33,4.8931,105.92
3,567,22.68,Person,513.83,89.5,4.8149,279.45
3,580,23.2,Person,514.5,97.0,3.3112,286.7
3,753,30.12,Person,503.17,94.0,1.9268,141.95
3,830,33.2,Person,489.83,84.0,2.7516,149.4
3,844,33.76,Person,470.0,66.5,3.739,123.11
3,851,34.04,Person,464.83,74.5,3.4951,173.74
3,879,35.16,Person,462.0,79.5,2.2385,283.24
3,896,35.84,Person,466.83,87.33,1.8506,71.78
3,911,36.44,Person,467.17,66.83,3.7876,96.68
3,916,36.64,Person,457.5,63.17,3.7346,152.08
3,924,36.96,Person,452.17,64.67,5.5483,245.86
3,934,37.36,Person,444.33,83.0,4.2812,317.98
3,969,38.76,Person,447.67,90.83,4.8763,254.43
3,977,39.08,Person,444.33,105.17,2.9624,296.54
3,989,39.56,Person,447.67,105.0,3.8839,204.25
3,995,39.8,Person,456.5,102.33,3.4339,45.35
3,1096,43.84,Person,471.83,99.83,3.3165,347.79
3,1112,44.48,Person,482.33,120.17,1.5607,281.08
3,1151,46.04,Person,486.5,144.0,1.7491,266.73
3,1162,46.48,Person,480.33,158.5,2.1345,255.0
3,1176,47.04,Person,480.0,150.33,2.8471,120.96
3,1188,47.52,Person,475.5,156.33,2.9148,325.15
3,1226,49.04,Person,477.5,164.83,2.5757,265.71
3,1232,49.28,Person,476.83,185.83,2.8243,291.68
3,1239,49.56,Person,483.67,186.83,2.4289,310.98
3,1267,50.68,Person,488.17,210.33,2.394,302.72
3,1322,52.88,Person,494.33,207.67,1.2686,262.27
3,1331,53.24,Person,500.33,207.33,1.7389,75.26
3,1343,53.72,Person,505.0,184.5,4.265,13.24
3,1349,53.96,Person,516.5,186.17,6.8687,28.96
3,1355,54.2,Person,509.83,184.17,9.1625,326.62
3,1365,54.6,Person,496.83,173.17,6.3227,151.79
3,1399,55.96,Person,480.17,159.0,4.3523,123.98
3,1410,56.4,Person,472.75,148.0,1.7692,353.09
4,0,0.0,Person,160.75,410.0,1.4453,0.0
4,38,1.52,Person,156.83,415.67,1.238,315.82
4,119,4.76,Person,186.0,437.0,3.2589,258.69
4,141,5.64,Person,199.67,426.33,4.6709,0.76
4,156,6.24,Person,212.5,430.33,5.4411,107.68
4,189,7.56,Person,216.0,416.83,3.817,239.23
4,260,10.4,Person,216.33,428.5,1.6452,20.01
4,298,11.92,Person,209.67,426.17,0.8287,203.89
4,503,20.12,Person,175.67,429.0,0.6322,178.95
4,613,24.52,Person,131.83,420.0,1.703,161.41
4,630,25.2,Person,126.33,420.5,2.1811,125.16
4,679,27.16,Person,107.5,422.67,2.3668,294.59
4,836,33.44,Person,127.0,425.0,1.466,160.5
4,885,35.4,Person,133.5,399.17,1.1046,28.12
4,977,39.08,Person,182.0,385.0,1.5092,45.0
4,1019,40.76,Person,201.0,395.67,4.2462,307.55
4,1030,41.2,Person,199.67,422.0,5.6118,240.29
4,1046,41.84,Person,194.5,438.33,5.7701,169.34
4,1068,42.72,Person,183.5,420.17,5.7991,41.1
4,1078,43.12,Person,185.67,422.83,6.7522,138.8
4,1090,43.6,Person,184.17,408.5,6.038,278.58
4,1222,48.88,Person,179.83,421.17,4.1922,72.63
4,1241,49.64,Person,177.5,412.33,2.3948,219.53
4,1312,52.48,Person,163.0,421.67,3.2697,142.55
4,1332,53.28,Person,173.67,416.83,2.3444,357.54
4,1404,56.16,Person,177.5,417.0,2.2175,14.93
5,0,0.0,Car,349.0,50.75,17.398,0.0
5,48,1.92,Car,334.83,57.83,31.0774,304.86
5,50,2.0,Car,353.5,73.0,45.7487,215.94
5,57,2.28,Car,359.5,72.5,53.1683,359.46
5,58,2.32,Car,379.83,73.0,50.2906,92.48
5,59,2.36,Car,365.5,59.67,52.7597,185.86
5,61,2.44,Car,341.33,54.67,45.4923,144.26
5,63,2.52,Car,322.33,47.67,36.5915,176.87
5,64,2.56,Car,311.83,71.67,34.7989,256.41
5,91,3.64,Car,316.17,74.5,39.6888,284.45
5,112,4.48,Car,306.5,99.17,42.4988,88.66
5,169,6.76,Car,294.0,131.67,36.5485,244.91
5,298,11.92,Car,266.33,163.0,29.4881,247.43
5,317,12.68,Car,261.83,163.5,26.1156,96.98
5,349,13.96,Car,255.67,147.83,30.0036,333.47
5,351,14.04,Car,258.0,182.33,27.5228,259.57
5,399,15.96,Car,249.5,247.83,30.7557,269.63
5,477,19.08,Car,243.67,299.17,30.0854,256.45
5,490,19.6,Car,239.67,317.67,29.9347,112.51
5,492,19.68,Car,240.0,360.0,37.1442,282.09
5,915,36.6,Car,286.67,360.17,38.3229,306.98
5,1248,49.92,Car,327.67,331.67,44.9863,54.92
5,1305,52.2,Car,369.75,271.75,41.1092,92.93
6,0,0.0,Car,472.0,50.5,10.1143,0.0
6,52,2.08,Car,471.67,69.67,18.2581,277.04
6,58,2.32,Car,468.0,94.5,30.566,258.69
6,66,2.64,Car,455.33,102.17,36.1878,159.59
6,68,2.72,Car,424.17,80.0,37.3559,130.88
6,77,3.08,Car,406.5,54.83,32.7549,140.93
6,79,3.16,Car,404.83,48.5,36.9717,345.63
6,86,3.44,Car,414.33,57.33,39.9115,304.45
6,87,3.48,Car,415.83,55.5,40.939,161.74
6,89,3.56,Car,403.83,51.33,33.8485,97.42
6,90,3.6,Car,396.83,48.83,27.6992,222.95
6,91,3.64,Car,402.0,125.67,29.3802,274.08
6,380,15.2,Car,444.83,156.17,30.5462,302.02
