time,vehicle_id,pedestrian_id,distance,vehicle_speed,ttc
341.0,bike_flow_2.20,ped_42,12.73,6.01,2.12
341.0,bike_flow_2.20,ped_44,13.42,6.01,2.23
341.0,bike_flow_2.20,ped_48,8.0,6.01,1.33
341.0,bike_flow_2.21,ped_41,8.96,3.44,2.61
341.0,bike_flow_2.21,ped_48,4.96,3.44,1.44
341.0,bike_flow_2.22,ped_32,6.51,3.98,1.64
341.0,bike_flow_2.22,ped_41,3.3,3.98,0.83
342.0,bike_flow_2.20,ped_42,8.36,4.77,1.75
342.0,bike_flow_2.20,ped_44,9.0,4.77,1.89
342.0,bike_flow_2.20,ped_48,11.01,4.77,2.31
342.0,bike_flow_2.20,ped_49,14.0,4.77,2.93
342.0,bike_flow_2.21,ped_41,13.34,5.63,2.37
342.0,bike_flow_2.21,ped_48,2.48,5.63,0.44
342.0,bike_flow_2.22,ped_41,3.22,2.12,1.52
342.0,bike_flow_2.23,ped_32,6.97,4.12,1.69
342.0,bike_flow_2.23,ped_41,7.46,4.12,1.81
343.0,bike_flow_2.20,ped_42,7.1,7.51,0.95
343.0,bike_flow_2.20,ped_44,6.78,7.51,0.9
343.0,bike_flow_2.20,ped_48,17.09,7.51,2.28
343.0,bike_flow_2.20,ped_49,7.53,7.51,1.0
343.0,bike_flow_2.20,ped_51,9.83,7.51,1.31
343.0,bike_flow_2.21,ped_41,15.97,5.64,2.83
343.0,bike_flow_2.21,ped_42,15.22,5.64,2.7
343.0,bike_flow_2.21,ped_44,15.98,5.64,2.83
343.0,bike_flow_2.21,ped_48,2.65,5.64,0.47
343.0,bike_flow_2.22,ped_41,4.0,2.94,1.36
344.0,bike_flow_2.21,ped_42,10.36,4.55,2.27
344.0,bike_flow_2.21,ped_44,10.97,4.55,2.41
344.0,bike_flow_2.21,ped_48,4.05,4.55,0.89
344.0,bike_flow_2.22,ped_32,16.45,5.88,2.8
344.0,bike_flow_2.22,ped_41,7.95,5.88,1.35
344.0,bike_flow_2.22,ped_48,7.54,5.88,1.28
344.0,bike_flow_2.23,ped_32,7.08,2.94,2.41
344.0,bike_flow_2.23,ped_41,5.8,2.94,1.97
344.0,bike_flow_2.23,ped_43,8.51,2.94,2.89
345.0,bike_flow_2.21,ped_42,6.7,5.29,1.27
345.0,bike_flow_2.21,ped_44,7.03,5.29,1.33
345.0,bike_flow_2.21,ped_48,7.77,5.29,1.47
345.0,bike_flow_2.21,ped_49,10.83,5.29,2.05
345.0,bike_flow_2.21,ped_51,13.33,5.29,2.52
345.0,bike_flow_2.22,ped_41,11.68,5.18,2.25
345.0,bike_flow_2.22,ped_48,5.7,5.18,1.1
345.0,bike_flow_2.23,ped_32,11.41,5.42,2.11
